Poids,Poids1,nou1,r36a,r36ab,ivt1_2,Q27_i2,q27_i22,q27_i18,n43_i4,n43_i6,qcb1_i3,q27_i8,q27_i17,q27_i14,q27_i23,q32
0.8453524,1.0087528,99,3,14,14,5,5,2,3,2,1,2,2,2,2,2
1.2990288,1.0181346,3,1,5,8,4,4,2,4,2,2,4,3,4,3,2
1.0877792,0.8541365,4,1,5,5,3,4,1,3,2,2,3,1,3,2,2
0.7250521,0.885174,5,3,14,9,2,3,4,1,2,3,1,3,1,3,2
1.1581417,0.9844019,10,1,9,12,1,1,4,2,2,1,3,1,3,2,1
1.0166422,1.0208782,99,2,15,12,1,1,2,2,3,2,1,3,1,2,1
0.9982073,1.3242948,9,1,7,11,1,4,4,1,4,1,1,3,3,4,1
0.9982073,0.7789705,5,1,5,8,2,1,4,2,1,1,1,2,1,3,2
1.1754963,0.8984638,6,1,5,8,3,3,2,3,2,4,3,2,2,3,2
1.0985308,1.3470461,1,1,3,4,4,4,2,4,1,4,4,1,4,1,1
0.8349603,0.5584713,3,1,4,6,4,4,3,4,1,4,4,2,4,3,2
0.6943805,0.4705445,6,1,4,4,3,3,2,3,2,2,4,2,2,3,2
1.2300112,0.9451162,6,1,5,9,2,3,4,1,3,2,2,4,2,4,2
1.0838131,0.831655,8,1,5,8,3,1,1,3,1,1,1,1,2,2,1
1.049755,0.8648919,10,1,9,12,1,1,4,1,4,1,3,1,4,1,1
0.439702,0.349924,7,1,5,9,4,5,1,5,1,2,2,2,1,2,1
1.1010077,1.4540051,99,1,7,9,2,2,2,2,2,2,2,2,2,2,2
0.7531205,0.4284796,10,1,2,11,2,1,1,2,2,2,2,2,2,2,1
1.3262244,1.0715594,4,1,5,7,4,4,1,3,1,4,3,1,3,2,1
1.0800005,1.2715379,4,1,12,8,1,2,5,1,3,1,3,1,2,5,2
1.0559248,1.2731946,2,3,14,15,4,4,1,3,1,4,3,3,2,4,2
1.0579348,0.6003547,1,1,2,2,2,3,4,5,3,3,3,1,1,2,2
1.3828862,1.7633381,3,1,3,7,3,4,2,2,2,3,2,2,4,1,1
1.1437594,0.9219692,5,1,5,8,2,1,2,1,2,2,2,2,2,3,1
1.179646,0.9092768,2,1,5,6,2,4,1,2,2,3,4,1,2,2,1
1.1012502,0.9094684,10,1,9,12,1,1,3,1,4,1,1,1,4,1,1
1.2256845,1.5876449,8,1,7,9,4,1,4,1,3,1,1,3,2,4,2
0.7880473,0.6204562,99,1,5,8,3,4,1,2,2,2,3,2,1,2,2
1.0579348,1.2787508,8,3,14,9,2,3,2,1,3,2,3,3,2,3,1
0.9075409,0.716214,4,1,5,8,3,4,2,1,2,2,3,3,3,2,1
0.9056699,0.7527516,10,1,9,11,1,3,1,2,4,1,3,3,2,4,2
1.096802,0.6163059,99,1,2,8,2,3,1,3,3,2,2,2,2,2,3
1.1540679,0.9087605,2,1,5,7,4,4,2,3,1,4,4,2,4,2,1
0.8876982,0.7589524,9,1,9,13,1,1,5,2,3,1,3,2,4,2,1
1.2528572,1.5673572,5,1,12,14,2,2,3,1,3,2,2,2,4,2,1
0.6795532,0.5242964,5,1,5,8,4,4,1,4,2,5,3,2,2,2,2
1.2582617,1.005519,4,1,5,6,3,4,2,5,2,2,4,2,2,3,2
0.8315642,1.031466,4,1,3,14,2,4,2,2,3,2,2,3,2,2,1
1.2944592,0.8670443,4,1,4,13,5,4,4,2,2,5,3,1,3,2,1
1.2510234,1.0573773,8,1,9,11,2,1,3,1,2,2,3,2,2,3,2
1.2510234,1.6794466,7,1,7,8,3,4,5,3,2,2,2,5,3,2,2
1.0542133,0.8165988,99,1,5,8,2,2,3,2,2,2,2,2,1,3,2
0.6790681,0.8124182,6,3,14,8,2,2,2,1,5,3,2,2,2,2,2
0.8123581,0.4708293,0,1,2,2,4,3,4,3,1,3,4,1,4,2,1
0.9735067,1.0878251,8,1,8,7,2,2,2,2,2,2,2,2,2,2,2
0.7560084,0.5946153,5,1,5,8,2,4,1,3,2,4,3,4,2,3,2
1.1905426,1.5922946,5,1,7,15,2,2,3,2,2,1,2,1,3,1,1
0.9434338,1.2234807,9,1,7,12,2,2,3,2,2,2,2,2,1,3,2
0.7880473,1.0548115,8,1,7,9,3,3,2,3,2,1,2,4,2,4,3
1.3704653,1.1564064,5,1,9,12,1,1,2,1,4,2,1,1,1,1,1
