pays,poids1,nou1,v0t1,t12022,r36b,q27_i2,q27_i22,q27_i31,q27_i32,q27_i8,q27_i14,q27_i23,q31bv15_i4
1,0.8580681,4.0,1.0,6.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0
1,1.8586925,0.0,3.0,,,4.0,4.0,4.0,1.0,4.0,3.0,1.0,1.0
1,2.1764803,99.0,,,,,,,,,2.0,,
1,0.9226057,5.0,2.0,,,,,,,,,,
1,0.4750287,5.0,1.0,11.0,9.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0
1,0.52064,7.0,1.0,8.0,7.0,,4.0,2.0,4.0,,2.0,3.0,
1,0.605267,3.0,1.0,6.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0
1,0.6147313,4.0,1.0,11.0,9.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0
1,0.6633731,9.0,1.0,11.0,9.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0
1,0.6643615,8.0,1.0,7.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
1,0.7625858,99.0,1.0,11.0,9.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0
1,0.7985628,6.0,1.0,7.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
1,0.8674972,99.0,1.0,7.0,5.0,,4.0,2.0,3.0,3.0,1.0,2.0,1.0
1,0.8963147,7.0,1.0,11.0,9.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,2.0
1,0.928301,3.0,1.0,6.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0
1,0.9886402,8.0,1.0,10.0,8.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0
1,0.9902409,4.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0
1,1.0484,99.0,2.0,,,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0
1,1.0525383,99.0,1.0,10.0,9.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0
1,1.0587866,1.0,1.0,7.0,3.0,3.0,2.0,3.0,1.0,2.0,4.0,1.0,2.0
1,1.1197339,99.0,1.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0
1,1.1307781,10.0,1.0,10.0,9.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0
1,1.2010504,2.0,1.0,4.0,3.0,,4.0,2.0,4.0,4.0,4.0,1.0,1.0
1,1.2808332,0.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0
1,1.4757227,5.0,3.0,,,1.0,4.0,1.0,4.0,2.0,2.0,4.0,2.0
1,1.8797057,1.0,1.0,13.0,12.0,3.0,4.0,2.0,4.0,1.0,3.0,1.0,1.0
1,3.4538352,99.0,1.0,13.0,7.0,3.0,2.0,,4.0,2.0,2.0,4.0,
1,0.3114573,5.0,1.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0
1,0.446165,2.0,1.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,1.0
1,0.5245979,2.0,1.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0
1,1.0798303,,1.0,13.0,3.0,4.0,1.0,4.0,3.0,3.0,1.0,3.0,1.0
1,1.5120202,2.0,1.0,4.0,,2.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0
1,1.7741761,99.0,3.0,,,4.0,,3.0,1.0,,2.0,2.0,1.0
1,0.7491869,3.0,1.0,7.0,5.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0
1,0.9835677,6.0,1.0,7.0,5.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0
1,2.1925373,5.0,3.0,,5.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0
1,2.0168898,6.0,3.0,,,1.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0
1,0.6048273,7.0,1.0,11.0,9.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0
1,1.4170752,99.0,1.0,14.0,12.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0
1,2.2738144,99.0,3.0,,,2.0,2.0,,3.0,4.0,2.0,3.0,3.0
1,0.4774289,4.0,1.0,6.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
1,0.4951457,10.0,1.0,11.0,9.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0
1,0.5536968,99.0,1.0,3.0,,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0
1,0.5648639,3.0,1.0,6.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0
1,0.5963268,10.0,1.0,11.0,9.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0
1,0.6139105,3.0,1.0,3.0,12.0,3.0,4.0,3.0,,,2.0,2.0,2.0
1,0.6306463,99.0,1.0,6.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0
1,0.6401121,99.0,1.0,11.0,9.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0
1,0.6429709,5.0,1.0,11.0,9.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0
1,0.6842881,8.0,1.0,7.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0
1,0.7038133,99.0,1.0,6.0,,,4.0,2.0,2.0,3.0,2.0,2.0,2.0
1,0.7396189,6.0,1.0,7.0,5.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0
1,0.755093,4.0,1.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0
1,0.7631588,8.0,1.0,11.0,5.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0
1,0.7903693,99.0,1.0,11.0,9.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0
1,0.8150222,3.0,1.0,6.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0
1,0.8737639,2.0,1.0,6.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0
1,0.9297858,7.0,1.0,8.0,7.0,1.0,4.0,1.0,4.0,1.0,2.0,4.0,4.0
1,1.0449791,6.0,1.0,7.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0
1,1.073705,5.0,1.0,7.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1,1.1020983,2.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0
1,1.2370185,8.0,1.0,10.0,7.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
1,1.2803187,3.0,1.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,2.0,2.0
1,1.3283112,2.0,1.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,1.0,1.0
1,1.3562162,1.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,,1.0
1,1.440663,3.0,3.0,,,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0
1,1.5596133,6.0,1.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0
1,1.7012068,99.0,1.0,13.0,12.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0
1,1.7526209,99.0,3.0,,,4.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0
1,1.757164,3.0,1.0,13.0,,3.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0
1,1.9781393,3.0,3.0,,,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
1,2.0409079,5.0,1.0,13.0,12.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,1.0
1,2.6206656,99.0,1.0,13.0,12.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0
1,0.5930182,6.0,1.0,8.0,5.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0
1,0.5931479,2.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0
1,0.6616943,8.0,1.0,11.0,,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
1,0.6662468,3.0,1.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0
1,0.7117748,7.0,1.0,11.0,9.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
1,0.7457246,3.0,1.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0
1,0.76513,4.0,1.0,10.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0
1,0.8116148,5.0,1.0,6.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0
1,0.8496202,8.0,1.0,7.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
1,0.8545806,99.0,1.0,7.0,5.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0
1,0.8857209,2.0,1.0,4.0,3.0,3.0,,3.0,,,3.0,,2.0
1,0.9813389,99.0,1.0,7.0,5.0,4.0,4.0,4.0,1.0,4.0,1.0,2.0,1.0
1,0.9831716,1.0,1.0,4.0,3.0,3.0,3.0,3.0,,3.0,3.0,1.0,2.0
1,1.0058243,4.0,1.0,7.0,5.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0
