pays,poids1,poids5,nou1,v0t1,t12022,q27_i2,q27_i22,q27_i32,q6v16_i4,q17v16,q27_i8,q27_i14,q27_i23,q9v16
1,1.1380951,1.1303675,99.0,1.0,7.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0
1,0.930479,0.9345782,99.0,1.0,11.0,2.0,2.0,3.0,,3.0,3.0,2.0,3.0,9.0
1,2.3574824,2.4491749,99.0,1.0,,2.0,2.0,,,,2.0,,,
1,1.2561744,1.2372665,4.0,1.0,7.0,,,4.0,4.0,2.0,,3.0,2.0,3.0
1,0.6169461,0.6170918,8.0,1.0,11.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0
1,1.378107,1.2299681,3.0,1.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,8.0
1,0.6799064,0.7323387,1.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,8.0
1,0.6634637,0.6580065,5.0,1.0,7.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,4.0,5.0
1,0.8416016,0.8412939,7.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0
1,1.3098822,1.3454735,5.0,3.0,,1.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,10.0
1,1.0547844,1.067856,9.0,1.0,10.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,9.0
1,0.8867112,0.7695242,9.0,1.0,11.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,5.0
1,0.4267704,0.3861795,6.0,1.0,8.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,7.0
1,0.7485701,0.6730388,4.0,1.0,12.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,9.0
1,0.8287066,0.8271186,9.0,1.0,11.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0
1,0.2726891,0.2999728,99.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,7.0
1,1.0935644,1.0833879,7.0,1.0,7.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,5.0
1,0.9219571,0.9522606,4.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,10.0
1,0.5685123,0.5645774,7.0,1.0,7.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,3.0,8.0
1,1.228815,1.2211848,6.0,1.0,7.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,3.0,3.0
1,0.6490161,0.604932,3.0,1.0,5.0,3.0,4.0,,3.0,3.0,3.0,2.0,2.0,5.0
1,0.8664945,0.8904744,0.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,1.0,10.0
1,0.7227683,0.7242689,7.0,1.0,11.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,6.0
1,1.2969166,1.4407165,3.0,1.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,7.0
1,0.6168212,0.6172577,8.0,1.0,11.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,7.0
1,0.3888284,0.4283812,8.0,1.0,8.0,1.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,6.0
1,0.9947159,1.0313605,3.0,3.0,,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,8.0
1,0.4522156,0.4565205,99.0,1.0,11.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0
1,0.4845407,0.5180807,6.0,1.0,11.0,1.0,,,1.0,2.0,,1.0,3.0,5.0
1,1.0151397,1.0015785,99.0,1.0,7.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,8.0
1,0.5201809,0.5225018,5.0,1.0,11.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0
1,0.554433,0.5744604,8.0,1.0,8.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,5.0
1,0.8947885,0.9912305,99.0,1.0,12.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,7.0
1,1.1435118,1.1339004,8.0,1.0,7.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,9.0
1,0.7458771,0.7015768,4.0,1.0,6.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0
1,1.5755451,1.3851877,8.0,1.0,10.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0
1,0.5859199,0.6094163,8.0,1.0,8.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,5.0
1,0.6870432,0.6820534,7.0,1.0,7.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,5.0
1,2.1203141,2.1836777,6.0,1.0,14.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,5.0
1,0.8113745,0.940358,3.0,1.0,6.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,8.0
1,0.6864277,0.6802295,8.0,1.0,11.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,8.0
1,0.581854,0.5822287,8.0,1.0,11.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,7.0
1,0.8697729,0.8615185,3.0,1.0,7.0,,4.0,2.0,,3.0,2.0,2.0,,5.0
1,0.8345348,0.9269348,4.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,7.0
1,0.9954857,0.9928774,7.0,1.0,7.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0
1,0.6169461,0.6170918,7.0,1.0,11.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,5.0
1,1.0714412,1.0711213,9.0,1.0,11.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,7.0
1,1.0285898,1.0200047,4.0,1.0,7.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0
1,0.8199992,0.9010701,2.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,7.0
1,1.4096056,1.4230338,8.0,1.0,10.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,4.0,5.0
1,2.0022469,2.0659242,99.0,1.0,13.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0
1,1.0084716,0.9508644,3.0,1.0,6.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,8.0
1,0.5080836,0.5089546,10.0,1.0,11.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,7.0
1,1.5761663,1.5774161,8.0,1.0,10.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,8.0
1,1.3422348,1.3880998,99.0,3.0,,1.0,3.0,3.0,1.0,4.0,3.0,4.0,1.0,9.0
1,0.9158607,0.9193218,5.0,1.0,11.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,1.0,5.0
1,0.5741505,0.5719148,7.0,1.0,11.0,,3.0,2.0,2.0,2.0,4.0,2.0,3.0,6.0
1,1.8532448,1.6577036,0.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,10.0
1,0.7326574,0.7366623,10.0,1.0,11.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,7.0
1,0.9021564,0.9030223,6.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,6.0
1,0.6179206,0.6104251,2.0,1.0,11.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,9.0
1,1.2243043,1.361196,2.0,1.0,12.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,2.0,5.0
1,1.8596811,1.9169877,99.0,1.0,13.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,6.0
1,0.8646948,0.8653589,8.0,1.0,10.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0
1,0.8418298,0.7560846,8.0,1.0,8.0,2.0,4.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0
1,0.466189,0.5320743,4.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,8.0
1,0.7963695,0.7964777,99.0,1.0,7.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,7.0
1,2.0742569,1.8567486,2.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,7.0
1,1.1501293,1.1306632,6.0,1.0,7.0,1.0,,2.0,,3.0,2.0,2.0,,5.0
1,2.2719266,1.8905779,7.0,1.0,13.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,,7.0
1,1.2173947,1.2386013,7.0,1.0,10.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,
1,1.4390273,1.5040303,3.0,1.0,4.0,3.0,1.0,4.0,1.0,3.0,4.0,4.0,1.0,10.0
1,0.9406173,0.9651311,6.0,3.0,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0
1,0.7750714,0.8271186,8.0,1.0,11.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,9.0
1,1.7053709,1.7286527,99.0,1.0,10.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0
