Poids,Poids1,nou1,r36a,r36ab,r36,q27_i1,q27_i2,q27_i3,q27_i16,q27_i13,n43_i4,n43_i5,n43_i6,nou10_i4,nou10_i2,q27_i8,q27_i17,q27_i14,q31,q32,nou10_i1,nou7
1.1520826,1.2089366,8,1,7,7,2,2,3,3,3,2,3,3,2,3,2,3,3,3,2,3,1
0.8867798,0.9046263,6,1,7,6,3,1,1,4,1,1,2,3,1,4,1,3,3,3,1,1,2
1.0347681,1.1077781,4,1,3,4,4,3,4,2,3,3,3,2,3,4,1,2,2,2,1,2,1
1.0716033,0.8643808,4,1,5,4,4,4,4,4,2,3,4,1,3,4,3,1,3,1,1,4,2
1.0345162,1.0289285,6,1,7,4,2,2,4,4,3,1,2,4,1,3,2,3,2,2,2,3,2
0.9930898,1.0504749,5,1,7,7,3,3,2,3,2,3,3,2,3,4,3,1,4,5,4,4,2
0.9544691,0.9288312,9,1,9,7,2,1,1,2,1,1,1,4,1,4,2,3,2,4,2,1,1
0.8795698,1.0295436,2,1,3,3,4,3,4,5,3,3,4,2,4,4,3,5,5,2,2,3,3
1.071398,0.7852889,7,1,5,6,2,2,3,2,2,3,4,3,4,4,2,2,4,1,1,4,1
0.9742907,1.0365295,7,1,7,8,5,2,5,3,2,2,5,2,2,4,2,5,1,3,2,2,1
0.9744866,1.0910474,1,1,3,3,4,2,4,1,2,1,4,3,2,4,3,2,4,2,1,3,2
1.0386405,0.7896774,5,1,5,6,4,3,1,4,2,2,2,2,2,2,2,2,3,2,1,2,1
0.9742907,1.0825568,7,1,3,6,2,2,3,2,3,2,3,2,3,4,3,1,2,3,2,3,2
0.9313255,0.5799151,4,1,4,4,4,3,4,1,2,3,3,2,3,4,5,3,4,2,2,2,2
1.0513716,0.8665666,2,1,1,3,5,3,3,3,1,3,3,2,3,3,2,2,3,2,1,3,1
1.3891511,1.2695597,7,1,7,7,3,2,2,3,2,2,2,2,2,4,2,3,2,3,1,2,1
0.9798365,0.923913,5,1,7,6,2,2,3,3,3,3,3,2,3,4,2,3,2,3,3,3,1
1.1034361,1.1755824,8,1,7,7,4,2,4,4,2,1,4,3,4,4,1,3,4,4,3,1,1
0.9719698,0.99259,7,1,7,7,1,2,3,2,2,2,3,3,3,3,2,2,2,3,3,3,2
1.0361664,1.0398568,5,1,7,6,3,2,1,4,2,3,3,2,3,3,3,2,2,2,1,3,2
0.9880763,0.9432725,10,1,7,7,1,1,1,2,1,1,2,4,1,4,1,4,2,3,2,1,1
0.9211462,0.9737002,8,1,7,7,2,2,3,4,2,2,2,3,1,3,2,3,2,4,2,3,1
0.9467089,0.7790985,5,1,5,4,4,2,4,2,2,4,3,2,3,4,3,3,3,3,2,3,1
0.9544691,0.7149668,4,1,5,4,4,4,4,1,3,4,4,2,4,4,2,4,4,2,2,3,1
0.8795698,0.5760459,2,1,4,5,4,4,4,5,5,3,4,2,4,4,3,2,3,2,1,5,2
0.9433745,1.0027571,1,1,3,3,4,4,4,2,2,4,4,1,4,4,4,1,4,1,1,4,2
0.9458172,0.7348452,3,1,5,4,4,4,3,3,3,3,4,1,4,4,3,2,3,2,1,2,1
0.968088,1.9190841,5,3,14,12,3,5,3,5,3,5,5,5,2,2,3,5,5,1,3,2,1
0.9364864,0.9028723,6,1,9,9,1,1,1,3,1,1,1,4,1,1,1,2,1,3,2,2,2
0.9742907,0.7537826,5,1,5,4,4,3,4,1,3,3,4,2,4,4,2,2,3,3,2,5,1
0.982778,0.7928768,3,1,5,4,4,2,3,2,2,3,3,3,3,4,3,2,3,2,2,3,1
0.9551646,0.8661311,8,1,9,9,1,1,4,1,2,1,1,4,1,4,4,1,4,2,1,4,2
0.8754923,0.774478,5,1,6,11,4,4,3,3,2,4,4,1,4,4,4,2,3,3,1,2,1
1.0388494,1.1430027,3,1,3,3,4,2,2,3,3,1,3,2,3,4,4,2,3,2,2,3,1
1.00974,1.7754595,3,3,14,6,4,2,4,4,2,3,4,2,3,4,2,1,3,1,1,4,2
1.0421098,2.0139966,99,1,12,11,1,1,4,1,1,1,4,2,1,4,1,4,1,4,1,1,2
0.8797467,0.5805638,3,1,4,4,4,3,4,3,3,4,3,2,4,4,3,2,4,2,2,3,2
1.056374,1.1003003,99,1,7,7,3,2,3,2,2,2,2,3,2,4,2,2,3,3,1,3,2
0.9798365,0.9649395,4,1,3,3,4,2,2,3,2,1,4,2,3,4,2,1,3,2,1,4,2
1.0626799,1.1703352,5,1,3,3,2,1,1,4,1,1,1,4,1,4,2,1,4,2,1,4,2
1.2272216,2.1234455,5,1,12,9,4,1,4,2,1,2,2,3,2,2,4,4,4,1,1,3,1
1.0603949,1.8795154,99,1,12,13,1,2,4,3,3,3,4,3,1,4,1,1,3,1,1,4,2
0.8947826,0.7701724,99,1,9,3,1,1,3,1,2,1,3,3,1,4,3,1,3,2,1,4,2
0.936287,0.8985264,7,1,7,13,1,1,1,4,2,1,1,3,1,4,1,3,1,4,1,2,1
1.0716134,1.0883234,7,1,7,7,4,3,3,3,1,2,3,2,3,4,1,4,3,4,2,1,1
1.1154897,1.1836797,3,1,3,3,4,4,4,2,3,3,3,2,4,4,4,2,3,3,1,3,2
1.030485,1.8248101,99,1,16,14,5,2,5,5,2,2,5,5,5,3,5,5,5,5,4,5,3
1.3247212,2.1884956,5,3,14,13,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2
0.9917358,0.8591375,8,1,8,8,5,2,3,3,3,2,3,3,3,4,2,2,3,3,2,4,2
1.0547216,0.9481072,9,1,9,9,2,2,1,4,3,1,1,2,1,3,1,2,1,1,2,2,2
0.9213314,0.5734552,4,1,4,4,1,1,4,2,2,2,4,2,1,3,2,2,2,1,1,2,2
1.4297676,0.7000986,1,1,2,5,3,3,2,3,1,3,4,2,4,2,3,1,4,2,1,4,1
0.9791359,0.6969966,99,1,5,7,2,1,3,2,2,1,1,4,1,4,2,2,2,2,2,4,1
0.9908339,0.7276109,4,1,5,6,3,2,3,2,2,3,4,2,2,4,2,2,2,3,1,2,1
1.0171497,0.9593447,99,1,9,9,2,2,2,3,2,3,2,3,2,3,2,2,2,2,1,3,2
1.0232494,0.9986413,10,1,9,7,1,1,1,4,1,1,1,4,1,4,1,1,3,4,1,2,1
1.00974,1.0053937,2,1,3,5,4,4,4,1,2,2,4,1,3,4,1,2,5,2,1,4,2
1.0031099,0.5603047,99,1,4,3,4,4,3,3,2,4,4,1,4,4,3,2,3,3,2,3,2
1.1286525,0.9650882,10,1,9,9,1,1,4,1,2,1,1,4,1,4,4,1,3,2,1,4,2
1.0131774,1.1303633,99,1,7,5,4,3,4,1,1,4,4,3,4,4,1,4,2,4,3,2,1
1.001492,0.9891644,7,1,7,6,4,3,1,4,2,3,3,2,3,4,2,3,2,2,2,2,1
0.8452609,0.4993514,3,1,4,13,4,3,4,2,3,3,4,1,3,4,3,2,3,2,2,3,2
1.0176038,0.6317995,99,1,4,6,4,3,5,4,2,3,3,2,3,4,3,1,4,2,2,3,2
1.0804024,1.6379777,99,1,11,8,5,5,3,3,3,4,5,5,2,1,2,5,3,3,3,1,2
0.96628,0.6287772,2,1,4,3,4,4,3,3,2,4,4,2,4,4,3,2,3,2,1,3,2
0.9851317,0.5341818,1,1,2,2,4,3,3,4,2,3,4,1,4,4,4,1,3,1,1,4,2
0.9744866,1.0446591,9,1,7,9,2,1,1,4,3,1,1,4,2,4,2,3,2,4,2,2,1
1.0386405,1.1341078,1,1,3,3,4,4,4,1,3,4,4,1,4,4,4,1,4,1,1,4,2
0.9744866,0.7596945,4,1,5,4,4,2,4,1,2,2,2,2,2,4,1,3,2,4,2,2,1
0.9723843,0.9641594,5,1,9,6,2,2,3,4,2,3,2,2,2,3,3,2,3,2,1,3,2
1.0412812,0.927214,99,1,9,9,1,1,4,4,1,1,1,4,1,4,4,1,1,1,1,4,2
0.9723843,1.0658658,5,1,3,4,3,2,2,4,2,3,3,2,3,3,4,2,3,2,2,3,2
0.9808608,0.6174901,4,1,4,4,4,3,2,3,3,4,3,2,3,4,3,2,3,2,2,3,2
1.1000972,1.07512,5,1,7,7,4,2,4,5,1,2,1,3,1,4,1,1,5,2,4,2,1
1.0325358,0.7535413,3,1,5,4,3,2,3,2,3,2,3,3,2,4,3,2,2,3,1,3,1
0.9303262,0.4784118,5,1,2,13,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
0.8824031,1.5563691,1,3,14,12,4,4,1,4,2,3,4,2,3,4,3,1,3,2,1,3,2
0.8142806,0.7072741,6,1,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
0.9723596,1.7555991,10,4,16,7,1,1,1,4,2,1,3,4,1,4,1,2,4,3,1,5,1
1.0759215,0.8176163,5,1,5,7,4,2,4,3,2,2,3,2,3,4,1,3,3,2,1,1,1
1.0109707,1.0188472,99,1,9,9,1,1,1,4,1,1,1,4,1,3,3,2,2,1,1,3,2
0.9180266,0.7238615,4,1,5,4,4,3,4,2,3,4,4,2,4,4,2,3,4,4,2,2,1
1.1186042,0.8631549,2,1,5,4,4,3,4,2,2,3,3,2,3,4,3,2,2,3,2,2,1
0.9939981,1.0537302,8,1,9,9,1,1,1,4,1,1,2,4,3,3,1,1,2,4,1,2,1
0.8875076,0.6460164,6,1,5,13,4,4,4,2,4,4,4,1,4,4,4,2,4,1,1,4,2
0.9861222,0.7229545,7,1,5,13,4,2,4,3,3,4,4,3,1,4,1,3,1,3,2,4,2
0.9851317,1.5486224,1,1,11,5,4,4,4,2,2,4,4,1,4,4,4,1,4,1,1,4,2
1.0188279,1.1134317,4,1,3,3,1,1,4,1,3,1,2,4,1,4,3,1,4,1,1,4,2
0.9467089,1.0713416,7,1,7,7,3,3,2,4,2,2,3,2,4,4,3,3,2,3,2,2,1
1.0317994,1.0393872,99,1,9,4,1,1,4,2,2,1,3,3,2,4,2,2,3,2,1,2,2
0.9809282,0.6947665,6,1,5,4,2,2,4,2,3,3,3,2,3,4,3,2,3,2,2,3,2
0.9647016,1.7345399,99,3,14,11,2,5,4,3,2,2,3,5,3,3,3,2,2,3,2,3,2
1.0176038,0.6317995,2,1,4,6,4,4,4,4,4,4,4,1,4,4,4,1,4,1,1,4,2
1.0287199,0.6091039,99,1,4,4,1,2,4,3,3,2,2,2,2,2,3,1,3,1,1,4,2
0.9856949,0.9812872,10,1,9,9,1,1,2,4,1,1,1,1,1,2,3,1,3,3,1,4,2
0.9185315,0.7429909,4,1,5,7,4,2,4,2,2,3,3,2,3,3,2,3,3,2,2,2,1
0.9798365,0.6718858,6,1,5,7,4,2,4,3,2,2,3,2,2,4,3,2,3,2,2,3,2
0.9963479,0.7295303,4,1,5,4,4,3,4,3,2,2,3,2,3,3,3,2,5,3,1,3,2
1.0178083,2.0097148,3,4,16,4,4,3,4,2,2,4,3,2,3,4,2,2,4,2,1,3,2
0.9303262,0.7341539,5,2,15,3,3,3,2,4,3,4,3,2,3,3,4,3,2,2,2,2,2
1.0261487,0.8339918,4,1,5,4,3,3,3,5,2,3,2,2,2,3,4,2,3,2,1,5,2
0.936287,0.6534243,5,1,5,13,4,3,4,1,3,4,4,1,4,4,2,3,3,4,2,2,1
0.9851317,1.8575064,6,1,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
1.4341975,1.2104633,5,1,9,9,3,2,2,2,3,3,3,3,2,3,3,2,2,3,2,3,1
0.8709962,0.6150828,3,1,5,4,4,3,4,2,2,3,3,3,4,3,4,2,4,2,1,3,1
1.0376482,1.8852791,5,3,14,12,2,2,5,3,2,3,3,2,2,3,2,5,2,2,2,2,1
0.9495674,0.6617481,2,1,5,4,4,4,4,1,2,4,4,2,4,4,3,3,3,2,2,3,2
1.0125592,0.7331464,99,1,5,11,2,3,4,4,2,4,4,2,3,3,4,3,2,2,2,2,1
0.9498106,0.7650959,5,1,5,6,4,4,4,4,1,4,4,1,4,4,2,3,4,2,1,2,1
0.9588186,0.741937,3,1,5,1,4,4,4,1,4,4,4,1,5,3,4,4,4,2,1,3,2
1.0261052,0.8153726,7,1,5,7,1,3,4,2,1,3,3,2,4,4,2,5,1,2,2,2,2
0.8795698,0.9857703,9,1,7,7,1,2,3,3,2,1,3,2,2,4,2,2,2,3,2,1,1
0.8797467,0.9935017,5,1,7,6,3,2,3,4,2,1,1,3,2,4,1,3,1,4,2,1,1
0.9590114,0.7477561,8,1,5,7,3,1,4,4,3,1,1,4,1,2,3,1,2,1,1,4,1
0.9800428,1.0735264,0,1,3,3,4,4,4,1,3,4,4,1,4,4,4,2,4,1,1,4,2
0.9217963,1.3635325,5,1,11,6,2,2,4,5,3,3,3,2,3,4,2,2,2,3,1,2,1
0.982778,0.7928768,5,1,5,4,4,2,4,2,2,2,3,2,2,4,3,1,3,2,1,3,2
0.9258747,0.6765252,5,1,5,3,2,1,4,1,2,1,2,3,2,4,3,1,2,1,1,4,2
0.982778,1.0902883,6,1,7,7,3,1,3,4,2,1,3,4,3,2,2,3,2,4,2,1,1
1.0264724,0.8642707,10,1,9,9,3,1,4,2,3,1,1,3,1,4,3,3,1,3,3,4,2
0.9139059,1.7197428,99,1,13,11,3,2,3,2,2,2,2,3,2,3,2,2,3,3,2,2,1
0.8753163,0.9067121,9,1,7,7,2,2,2,4,1,1,3,3,3,3,1,2,2,3,1,3,2
0.8754923,1.6854116,5,3,14,6,4,3,3,3,2,2,4,2,4,4,3,3,3,3,2,2,1
1.2002275,1.1334016,2,1,3,6,4,3,3,2,3,3,4,2,3,4,3,3,3,3,2,3,1
0.8753163,0.659377,5,1,5,12,3,2,5,3,2,2,5,5,3,4,1,3,5,3,1,5,1
1.0543427,1.9774429,5,3,14,3,4,2,1,4,1,4,4,1,1,4,3,1,2,1,1,4,2
0.9717745,1.5143833,99,1,11,11,4,2,4,3,2,3,4,2,3,4,3,3,3,3,1,2,1
0.9682826,1.0486807,6,1,7,7,3,2,5,5,2,2,3,3,5,4,2,5,2,3,2,2,2
0.9235314,1.0247784,8,1,7,7,2,1,2,4,2,1,2,3,3,3,2,2,2,3,1,4,1
1.0345602,0.7653415,6,1,5,4,4,2,4,3,2,3,4,2,3,3,2,2,2,2,1,3,2
0.8772982,0.8848841,5,1,9,7,4,1,4,4,1,1,2,3,1,4,2,4,2,3,2,2,1
0.9742007,0.7180808,3,1,5,4,3,3,4,1,2,1,3,3,3,3,4,2,3,2,2,3,2
0.996555,1.0617011,6,1,7,7,4,3,3,3,3,3,3,3,2,4,3,3,3,2,2,3,2
0.852361,0.7466664,6,1,9,9,1,1,1,4,2,1,2,4,3,3,3,3,3,3,2,3,2
1.47351,1.3493229,7,1,7,7,3,5,3,3,2,3,4,3,3,4,2,3,2,3,2,2,1
1.3488046,2.3490458,10,3,14,7,2,1,4,4,2,1,1,4,1,4,4,4,2,4,1,1,1
0.990525,0.9429666,9,1,9,9,1,1,1,4,2,1,1,4,1,4,5,1,2,1,1,2,2
1.024225,0.9927132,99,1,9,12,1,1,3,3,2,1,3,3,1,3,2,2,3,3,2,3,1
1.030485,1.0333396,8,1,3,2,4,2,4,4,4,4,4,1,4,4,4,1,4,2,1,4,1
1.0134076,0.9469485,99,1,9,9,1,1,4,5,1,1,3,3,3,3,2,2,2,2,2,3,2
