cycle,section,label,official_url,status,size_mb,access_url
PISA 2025,SPSS Data Files (Compressed),School questionnaire data file,https://webfs.oecd.org/pisa2022/2025/CY09_MS_SCH_PUF.zip,direct,5.07,https://webfs.oecd.org/pisa2022/2025/CY09_MS_SCH_PUF.zip
PISA 2025,SPSS Data Files (Compressed),Student questionnaire data file,https://webfs.oecd.org/pisa2022/2025/CY09_MS_STU_PUF.zip,direct,946.91,https://webfs.oecd.org/pisa2022/2025/CY09_MS_STU_PUF.zip
PISA 2025,SPSS Data Files (Compressed),Teacher questionnaire data file,https://webfs.oecd.org/pisa2022/2025/CY09_MS_TCH_PUF.zip,direct,5.88,https://webfs.oecd.org/pisa2022/2025/CY09_MS_TCH_PUF.zip
PISA 2025,SPSS Data Files (Compressed),Cognitive item data file,https://webfs.oecd.org/pisa2022/2025/CY09_MS_COG_PUF.zip,direct,214.34,https://webfs.oecd.org/pisa2022/2025/CY09_MS_COG_PUF.zip
PISA 2025,SPSS Data Files (Compressed),Cognitive process data file,https://webfs.oecd.org/pisa2022/2025/CY09_MS_COG_PROCESS_PUF.zip,direct,404.93,https://webfs.oecd.org/pisa2022/2025/CY09_MS_COG_PROCESS_PUF.zip
PISA 2025,,Questionnaire timing data file,https://webfs.oecd.org/pisa2022/2025/CY09_MS_STU_TT_PUF.zip,direct,62.03,https://webfs.oecd.org/pisa2022/2025/CY09_MS_STU_TT_PUF.zip
PISA 2025,,LDW cognitive data file,https://webfs.oecd.org/pisa2022/2025/CY09_MS_SCH_PUF.zip,direct,5.07,https://webfs.oecd.org/pisa2022/2025/CY09_MS_SCH_PUF.zip
PISA 2022,SAS Data Files (Compressed),School questionnaire data file,https://webfs.oecd.org/pisa2022/SCH_QQQ_SAS.zip,direct,7.23,https://webfs.oecd.org/pisa2022/SCH_QQQ_SAS.zip
PISA 2022,SAS Data Files (Compressed),Student questionnaire data file,https://webfs.oecd.org/pisa2022/STU_QQQ_SAS.zip,direct,737.55,https://webfs.oecd.org/pisa2022/STU_QQQ_SAS.zip
PISA 2022,SAS Data Files (Compressed),Teacher questionnaire data file,https://webfs.oecd.org/pisa2022/TCH_QQQ_SAS.zip,direct,29.23,https://webfs.oecd.org/pisa2022/TCH_QQQ_SAS.zip
PISA 2022,SAS Data Files (Compressed),Cognitive item data file,https://webfs.oecd.org/pisa2022/STU_COG_SAS.zip,direct,656.07,https://webfs.oecd.org/pisa2022/STU_COG_SAS.zip
PISA 2022,SAS Data Files (Compressed),Questionnaire timing data file,https://webfs.oecd.org/pisa2022/STU_TIM_SAS.zip,direct,201.3,https://webfs.oecd.org/pisa2022/STU_TIM_SAS.zip
PISA 2022,SAS Data Files (Compressed),Creative Thinking data file,https://webfs.oecd.org/pisa2022/CRT_SAS.zip,direct,113.07,https://webfs.oecd.org/pisa2022/CRT_SAS.zip
PISA 2022,SAS Data Files (Compressed),Financial Literacy data file,https://webfs.oecd.org/pisa2022/FLT_SAS.zip,direct,233.66,https://webfs.oecd.org/pisa2022/FLT_SAS.zip
PISA 2022,SPSS Data Files (Compressed),School questionnaire data file,https://webfs.oecd.org/pisa2022/SCH_QQQ_SPSS.zip,direct,5.94,https://webfs.oecd.org/pisa2022/SCH_QQQ_SPSS.zip
PISA 2022,SPSS Data Files (Compressed),Student questionnaire data file,https://webfs.oecd.org/pisa2022/STU_QQQ_SPSS.zip,direct,650.75,https://webfs.oecd.org/pisa2022/STU_QQQ_SPSS.zip
PISA 2022,SPSS Data Files (Compressed),Teacher questionnaire data file,https://webfs.oecd.org/pisa2022/TCH_QQQ_SPSS.zip,direct,26.89,https://webfs.oecd.org/pisa2022/TCH_QQQ_SPSS.zip
PISA 2022,SPSS Data Files (Compressed),Cognitive item data file,https://webfs.oecd.org/pisa2022/STU_COG_SPSS.zip,direct,458.51,https://webfs.oecd.org/pisa2022/STU_COG_SPSS.zip
PISA 2022,SPSS Data Files (Compressed),Questionnaire timing data file,https://webfs.oecd.org/pisa2022/STU_TIM_SPSS.zip,direct,207.98,https://webfs.oecd.org/pisa2022/STU_TIM_SPSS.zip
PISA 2022,SPSS Data Files (Compressed),Creative Thinking data file,https://webfs.oecd.org/pisa2022/CRT_SPSS.zip,direct,105.12,https://webfs.oecd.org/pisa2022/CRT_SPSS.zip
PISA 2022,SPSS Data Files (Compressed),Financial Literacy data file,https://webfs.oecd.org/pisa2022/FLT_SPSS.zip,direct,210.45,https://webfs.oecd.org/pisa2022/FLT_SPSS.zip
PISA 2022,SPSS Data Files (Compressed),Rescaled indices for trend analyses,https://webfs.oecd.org/pisa2022/escs_trend.zip,direct,21.36,https://webfs.oecd.org/pisa2022/escs_trend.zip
PISA 2022,SPSS Data Files (Compressed),available in CSV only,https://webfs.oecd.org/pisa2022/escs_trend.zip,direct,21.36,https://webfs.oecd.org/pisa2022/escs_trend.zip
PISA 2018,SAS Data Files (Compressed),Student Questionnaire Data File,https://webfs.oecd.org/pisa2018/SAS_STU_QQQ.zip,direct,583.1,https://webfs.oecd.org/pisa2018/SAS_STU_QQQ.zip
PISA 2018,SAS Data Files (Compressed),School Questionnaire Data File,https://webfs.oecd.org/pisa2018/SAS_SCH_QQQ.zip,direct,3.65,https://webfs.oecd.org/pisa2018/SAS_SCH_QQQ.zip
PISA 2018,SAS Data Files (Compressed),Teacher Questionnaire Data File,https://webfs.oecd.org/pisa2018/SAS_TCH_QQQ.zip,direct,16.9,https://webfs.oecd.org/pisa2018/SAS_TCH_QQQ.zip
PISA 2018,SAS Data Files (Compressed),Cognitive Item Data File,https://webfs.oecd.org/pisa2018/SAS_STU_COG.zip,direct,570.06,https://webfs.oecd.org/pisa2018/SAS_STU_COG.zip
PISA 2018,SAS Data Files (Compressed),Questionnaire Timing Data File,https://webfs.oecd.org/pisa2018/SAS_STU_TIM.zip,direct,179.57,https://webfs.oecd.org/pisa2018/SAS_STU_TIM.zip
PISA 2018,SAS Data Files (Compressed),Financial Literacy Data File,https://webfs.oecd.org/pisa2018/SAS_STU_FLT.zip,direct,282.21,https://webfs.oecd.org/pisa2018/SAS_STU_FLT.zip
PISA 2018,SAS Data Files (Compressed),Cognitive items total time/visits data file,https://webfs.oecd.org/pisa2018/SAS_STU_TTM.zip,direct,188.66,https://webfs.oecd.org/pisa2018/SAS_STU_TTM.zip
PISA 2018,SAS Data Files (Compressed),Moscow City data file,https://webfs.oecd.org/pisa2018/SAS_QMC_ALLDB.zip,direct,23.13,https://webfs.oecd.org/pisa2018/SAS_QMC_ALLDB.zip
PISA 2018,SAS Data Files (Compressed),Additional data file for Viet Nam,https://webfs.oecd.org/pisa2018/SAS_VNM_PV_COG.zip,direct,1.81,https://webfs.oecd.org/pisa2018/SAS_VNM_PV_COG.zip
PISA 2018,SPSS Data Files (Compressed),Student Questionnaire Data File,https://webfs.oecd.org/pisa2018/SPSS_STU_QQQ.zip,direct,477.75,https://webfs.oecd.org/pisa2018/SPSS_STU_QQQ.zip
PISA 2018,SPSS Data Files (Compressed),School Questionnaire Data File,https://webfs.oecd.org/pisa2018/SPSS_SCH_QQQ.zip,direct,2.96,https://webfs.oecd.org/pisa2018/SPSS_SCH_QQQ.zip
PISA 2018,SPSS Data Files (Compressed),Teacher Questionnaire Data File,https://webfs.oecd.org/pisa2018/SPSS_TCH_QQQ.zip,direct,12.55,https://webfs.oecd.org/pisa2018/SPSS_TCH_QQQ.zip
PISA 2018,SPSS Data Files (Compressed),Cognitive Item Data File,https://webfs.oecd.org/pisa2018/SPSS_STU_COG.zip,direct,455.45,https://webfs.oecd.org/pisa2018/SPSS_STU_COG.zip
PISA 2018,SPSS Data Files (Compressed),Questionnaire Timing Data File,https://webfs.oecd.org/pisa2018/SPSS_STU_TIM.zip,direct,184.01,https://webfs.oecd.org/pisa2018/SPSS_STU_TIM.zip
PISA 2018,SPSS Data Files (Compressed),Financial Literacy Data File,https://webfs.oecd.org/pisa2018/SPSS_STU_FLT.zip,direct,238.61,https://webfs.oecd.org/pisa2018/SPSS_STU_FLT.zip
PISA 2018,SPSS Data Files (Compressed),Cognitive items total time/visits data file,https://webfs.oecd.org/pisa2018/SPSS_STU_TTM.zip,direct,176.02,https://webfs.oecd.org/pisa2018/SPSS_STU_TTM.zip
PISA 2018,SPSS Data Files (Compressed),Moscow City data file,https://webfs.oecd.org/pisa2018/SPSS_QMC_ALLDB.zip,direct,19.58,https://webfs.oecd.org/pisa2018/SPSS_QMC_ALLDB.zip
PISA 2018,SPSS Data Files (Compressed),Additional data file for Viet Nam,https://webfs.oecd.org/pisa2018/SPSS_VNM_PV_COG.zip,direct,2.89,https://webfs.oecd.org/pisa2018/SPSS_VNM_PV_COG.zip
PISA 2018,SPSS Data Files (Compressed),Annex K,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2018-datasets/ssas-sps-data-files/PISA2018%20Aneex%20K%20TechReport.pdf,direct,0.79,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2018-datasets/ssas-sps-data-files/PISA2018%20Aneex%20K%20TechReport.pdf
PISA 2018,SPSS Data Files (Compressed),PISA 2018 Technical Report,https://www.oecd.org/content/dam/oecd/en/about/programmes/edu/pisa/publications/technical-report/pisa-2018-technical-report-files/PISA%202018%20Technical%20report%20-%20chapter%2014.pdf,direct,0.79,https://www.oecd.org/content/dam/oecd/en/about/programmes/edu/pisa/publications/technical-report/pisa-2018-technical-report-files/PISA%202018%20Technical%20report%20-%20chapter%2014.pdf
